candidat,couleur,parti,sigle,img
ARTHAUD Nathalie,#ce291d,Lutte ouvrière,LO,arthaud
ASSELINEAU François,#071868,UPR,UPR,asselineau
BARNIER Michel,#2b99fc,Les Républicains,LR,barnier
BÉKAERT Corinne,#534D57,,,
CAU Marie,#534D57,,,
CHICHE Arnaud,#534D57,,,
COJAN Patrick,#534D57,,,
DELGA Carole,#f76e9e,,,
DUPONT-AIGNAN Nicolas,#042fa0,Debout la France,DLF,dupontaignan
EGGER Clara,#534D57,,,
FESSARD DE FOUCAULT Bertrand,#534D57,,,
FIORILE Eric Régis,#534D57,,,
FORTANÉ Jean-Marc,#534D57,,,
HIDALGO Anne,#f76e9e,Parti socialiste,PS,hidalgo
HOLLANDE François,#6ef000,Parti socialiste,PS,hollande
JADOT Yannick,#6EF000,EELV, Génération Ecologie, Génération.s,EELV,jadot
KAZIB Anasse,#6C0101,,,
KOENIG Gaspard,#534D57,,,
KUZMANOVIC Georges,#534D57,République souveraine,,
LAM Yaya,#534D57,,,
LASSALLE Jean,#c4c4c4,Résistons,0,lassalle
LE PEN Marine,#071868,Rassemblement national,RN,lepen
MACRON Emmanuel,#FF8000,LRM,LREM,macron
MARECHAL Philippe Célestin,#534D57,,,
MARTINEZ Antoine,#2D466B,Volontaires pour la France,,
MAZUEL Philippe,#534D57,Parti des Citoyens Européens,,
MÉLENCHON Jean-Luc,#ce291d,France insoumise,LFI,melenchon
MÉNARD Emmanuelle,#2D466B,,,
MEURICE Guillaume,#534D57,,,
MIGUET Nicolas,#534D57,Rassemblement des contribuables français,,
PÉCRESSE Valérie,#2b99fc,Les Républicains,LR,pecresse
PHILIPPOT Florian,#c4c4c4,Les Patriotes,LP,philippot
POUTOU Philippe,#ce291d,NPA,NPA,poutou
RIVOAL Stéphanie,#534D57,,,
ROCCA Martin,#534D57,,,
ROUSSEL Fabien,#FF0000,Parti communiste,PCF,roussel
SCHOVANEC Josef,#534D57,,,
SMATI  Rafik,#534D57,Objectif France,,
TAUBIRA Christiane,#f76e9e,,,taubira
THOUY Hélène,#f7fa05,Parti animaliste,PA,thouy
VIEIRA Gildas,#534D57,La France autrement,,
WAECHTER Antoine,#75E685,,,
WENDLINGER Stéphane,#534D57,,,
ZEMMOUR Éric,#071868,0,0,zemmour
*,#534D57,,,
